name,slug,name_scraped,birth_year_scraped,party_scraped,current_scraped,bill_count_scraped
"Representative Mollohan, Robert H.",robert-mollohan/M000845,Robert H. Mollohan,1909,Democratic,not current,872
"Senator Mondale, Walter F.",walter-mondale/M000851,Walter F. Mondale,1928,Democratic,not current,772
"Representative Monson, David S.",david-monson/M000860,David S. Monson,1945,Republican,not current,437
"Representative Montgomery, G. V. (Sonny)",g-montgomery/M000865,G. V. (Sonny) Montgomery,1920,Democratic,not current,"3,644"
"Senator Montoya, Joseph M.",joseph-montoya/M000876,Joseph M. Montoya,1915,Democratic,not current,348
"Representative Moody, Jim",jim-moody/M000881,Jim Moody,1935,Democratic,not current,"1,917"
"Representative Moolenaar, John R.",john-moolenaar/M001194,John R. Moolenaar,1961,Republican,current,598
"Representative Mooney, Alexander X.",alexander-mooney/M001195,Alexander X. Mooney,1971,Republican,current,850
"Representative Moore, Dennis",dennis-moore/M001140,Dennis Moore,1945,Democratic,not current,"2,673"
"Representative Moore, Gwen",gwen-moore/M001160,Gwen Moore,1951,Democratic,current,"4,646"
"Representative Moore, W. Henson",w-moore/M000923,W. Henson Moore,1939,Republican,not current,847
"Representative Moorhead, Carlos J.",carlos-moorhead/M000926,Carlos J. Moorhead,1922,Republican,not current,"2,833"
"Representative Moorhead, William S.",william-moorhead/M000930,William S. Moorhead,1923,Democratic,not current,657
"Representative Moran, James P.",james-moran/M000933,James P. Moran,1945,Democratic,not current,"6,074"
"Senator Moran, Jerry",jerry-moran/M000934,Jerry Moran,1954,Republican,current,"3,318"
"Representative Morella, Constance A.",constance-morella/M000941,Constance A. Morella,1931,Republican,not current,"4,033"
"Representative Morelle, Joseph D.",joseph-morelle/M001206,Joseph D. Morelle,1957,Democratic,current,593
"Senator Morgan, Robert B.",robert-morgan/M000956,Robert B. Morgan,1925,Democratic,not current,355
"Representative Morgan, Thomas E.",thomas-morgan/M000958,Thomas E. Morgan,1906,Democratic,not current,202
"Representative Morrison, Bruce A.",bruce-morrison/M000992,Bruce A. Morrison,1944,Democratic,not current,"2,550"
"Representative Morrison, Sid",sid-morrison/M000999,Sid Morrison,1933,Republican,not current,"1,645"
"Senator Moseley-Braun, Carol",carol-moseley-braun/M001025,Carol Moseley-Braun,1947,Democratic,not current,"1,039"
"Representative Mosher, Charles A.",charles-mosher/M001031,Charles A. Mosher,1906,Republican,not current,430
"Senator Moss, Frank E.",frank-moss/M001033,Frank E. Moss,1911,Democratic,not current,751
"Representative Moss, John E.",john-moss/M001035,John E. Moss,1915,Democratic,not current,702
"Representative Mottl, Ronald M.",ronald-mottl/M001044,Ronald M. Mottl,1934,Democratic,not current,"1,306"
"Representative Moulton, Seth",seth-moulton/M001196,Seth Moulton,1978,Democratic,current,"1,482"
"Senator Moynihan, Daniel Patrick",daniel-moynihan/M001054,Daniel Patrick Moynihan,1927,Democratic,not current,"5,592"
"Representative Mrazek, Robert J.",robert-mrazek/M001057,Robert J. Mrazek,1945,Democratic,not current,"3,093"
"Representative Mucarsel-Powell, Debbie",debbie-mucarsel-powell/M001207,Debbie Mucarsel-Powell,1971,Democratic,current,501
"Representative Mullin, Markwayne",markwayne-mullin/M001190,Markwayne Mullin,1977,Republican,current,925
"Representative Mulvaney, Mick",mick-mulvaney/M001182,Mick Mulvaney,1967,Republican,not current,895
"Senator Murkowski, Frank H.",frank-murkowski/M001085,Frank H. Murkowski,1933,Republican,not current,"4,004"
"Senator Murkowski, Lisa",lisa-murkowski/M001153,Lisa Murkowski,1957,Republican,current,"3,549"
"Representative Murphy, Austin J.",austin-murphy/M001088,Austin J. Murphy,1927,Democratic,not current,"4,495"
"Senator Murphy, Christopher",christopher-murphy/M001169,Christopher Murphy,1973,Democratic,current,"2,730"
"Representative Murphy, John M.",john-murphy/M001098,John M. Murphy,1926,Democratic,not current,"1,738"
"Representative Murphy, Morgan F.",morgan-murphy/M001101,Morgan F. Murphy,1932,Democratic,not current,708
"Representative Murphy, Patrick",patrick-murphy/M001191,Patrick Murphy,1983,Democratic,not current,802
"Representative Murphy, Patrick J.",patrick-murphy/M001168,Patrick J. Murphy,1973,Democratic,not current,741
"Representative Murphy, Scott",scott-murphy/M001178,Scott Murphy,1970,Democratic,not current,259
"Representative Murphy, Stephanie N.",stephanie-murphy/M001202,Stephanie N. Murphy,1978,Democratic,current,742
"Representative Murphy, Tim",tim-murphy/M001151,Tim Murphy,1952,Republican,not current,"1,884"
"Senator Murray, Patty",patty-murray/M001111,Patty Murray,1950,Democratic,current,"6,344"
"Representative Murtha, John P.",john-murtha/M001120,John P. Murtha,1932,Democratic,not current,"3,062"
"Representative Musgrave, Marilyn N.",marilyn-musgrave/M001152,Marilyn N. Musgrave,1949,Republican,not current,"1,150"
"Senator Muskie, Edmund S.",edmund-muskie/M001121,Edmund S. Muskie,1914,Democratic,not current,430
"Representative Musto,  Raphael",raphael-musto/M001123,Raphael Musto,1929,Democratic,not current,33
"Representative Myers, Gary A.",gary-myers/M001128,Gary A. Myers,1937,Republican,not current,120
"Representative Myers, John T.",john-myers/M001130,John T. Myers,1927,Republican,not current,"1,316"
"Representative Myers, Michael O.",michael-myers/M001132,Michael O. Myers,1943,Democratic,not current,234
"Representative Myrick, Sue Wilkins",sue-myrick/M001134,Sue Wilkins Myrick,1941,Republican,not current,"3,355"
"Representative Nadler, Jerrold",jerrold-nadler/N000002,Jerrold Nadler,1947,Democratic,current,"6,464"
"Representative Nagle, Dave R,",dave-nagle/N000003,Dave R Nagle,1943,Democratic,not current,659
"Representative Napier, John L.",john-napier/N000005,John L. Napier,1947,Republican,not current,285
"Representative Napolitano, Grace F.",grace-napolitano/N000179,Grace F. Napolitano,1936,Democratic,current,"5,411"
"Representative Natcher, William H.",william-natcher/N000009,William H. Natcher,1909,Democratic,not current,"1,015"
"Representative Neal, Richard E.",richard-neal/N000015,Richard E. Neal,1949,Democratic,current,"4,544"
"Representative Neal, Stephen L.",stephen-neal/N000016,Stephen L. Neal,1934,Democratic,not current,"4,353"
"Representative Nedzi, Lucien N.",lucien-nedzi/N000019,Lucien N. Nedzi,1925,Democratic,not current,480
"Representative Negrete McLeod, Gloria",gloria-negrete-mcleod/N000187,Gloria Negrete McLeod,1941,Democratic,not current,337
"Representative Neguse, Joe",joe-neguse/N000191,Joe Neguse,1984,Democratic,current,733
"Representative Nelligan, James L.",james-nelligan/N000027,James L. Nelligan,1929,Republican,not current,250
"Representative Nelsen, Ancher",ancher-nelsen/N000028,Ancher Nelsen,1904,Republican,not current,134
"Senator Nelson, Ben",e-nelson/N000180,Ben Nelson,1941,Democratic,not current,"1,413"
"Senator Nelson, Bill",clarence-nelson/N000032,Bill Nelson,1942,Democratic,not current,"4,594"
"Senator Nelson, Gaylord",gaylord-nelson/N000033,Gaylord Nelson,1916,Democratic,not current,820
"Representative Nethercutt, George R., Jr.",george-nethercutt/N000051,George R. Nethercutt Jr.,1944,Republican,not current,"1,276"
"Representative Neugebauer, Randy",randy-neugebauer/N000182,Randy Neugebauer,1949,Republican,not current,"1,755"
"Representative Neumann, Mark W.",mark-neumann/N000054,Mark W. Neumann,1954,Republican,not current,255
"Representative Newhouse, Dan",dan-newhouse/N000189,Dan Newhouse,1955,Republican,current,782
"Representative Ney, Robert W.",bob-ney/N000081,Robert W. Ney,1954,Republican,not current,"1,613"
"Representative Nichols, Bill",bill-nichols/N000095,Bill Nichols,1918,Democratic,not current,"1,350"
"Representative Nichols, Dick",dick-nichols/N000094,Dick Nichols,1926,Republican,not current,155
"Senator Nickles, Don",donald-nickles/N000102,Don Nickles,1948,Republican,not current,"3,208"
"Representative Nielson, Howard C.",howard-nielson/N000106,Howard C. Nielson,1924,Republican,not current,"1,871"
"Representative Nix, Robert N. C.",robert-nix/N000113,Robert N. C. Nix,1898,Democratic,not current,"1,046"
"Representative Noem, Kristi L.",kristi-noem/N000184,Kristi L. Noem,1971,Republican,not current,812
"Representative Nolan, Richard M.",richard-nolan/N000127,Richard M. Nolan,1943,Democratic,not current,"2,291"
"Representative Norcross, Donald",donald-norcross/N000188,Donald Norcross,1958,Democratic,current,"1,000"
"Representative Norman, Ralph",ralph-norman/N000190,Ralph Norman,1953,Republican,current,759
"Representative Northup, Anne M.",anne-northup/N000143,Anne M. Northup,1948,Republican,not current,752
"Representative Norton, Eleanor Holmes",eleanor-norton/N000147,Eleanor Holmes Norton,1937,Democratic,current,12
"Representative Norwood, Charles W.",charles-norwood/N000159,Charles W. Norwood,1941,Republican,not current,"1,854"
"Representative Nowak, Henry",henry-nowak/N000163,Henry Nowak,1935,Democratic,not current,"1,955"
"Representative Nugent, Richard B.",richard-nugent/N000185,Richard B. Nugent,1951,Republican,not current,777
"Representative Nunes, Devin",devin-nunes/N000181,Devin Nunes,1973,Republican,current,"1,416"
"Senator Nunn, Sam",samuel-nunn/N000171,Sam Nunn,1938,Democratic,not current,"3,028"
"Representative Nunnelee, Alan",alan-nunnelee/N000186,Alan Nunnelee,1958,Republican,not current,605
"Representative Nussle, Jim",jim-nussle/N000172,Jim Nussle,1960,Republican,not current,999
"Representative Nye, Glenn C.",glenn-nye/N000183,Glenn C. Nye,1974,Democratic,not current,344
"Representative O'Brien, George M.",george-o-brien/O000010,George M. O'Brien,1917,Republican,not current,"1,373"
"Representative O'Halleran, Tom",tom-o-halleran/O000171,Tom O'Halleran,1946,Democratic,current,826
"Representative O'Hara, James G.",james-o-hara/O000055,James G. O'Hara,1925,Democratic,not current,381
"Representative O'Neill, Thomas P., Jr.",thomas-o-neill/O000098,Thomas P. O'Neill Jr.,1912,Democratic,not current,396
"Representative O'Rourke, Beto",beto-o-rourke/O000170,Beto O'Rourke,1972,Democratic,not current,"1,111"
"Representative Oakar, Mary Rose",mary-oakar/O000001,Mary Rose Oakar,1940,Democratic,not current,"3,389"
"Senator Obama, Barack",barack-obama/O000167,Barack Obama,1961,Democratic,not current,"1,259"
"Representative Oberstar, James L.",james-oberstar/O000006,James L. Oberstar,1934,Democratic,not current,"6,799"
"Representative Obey, David R.",david-obey/O000007,David R. Obey,1938,Democratic,not current,"1,741"
"Representative Ocasio-Cortez, Alexandria",alexandria-ocasio-cortez/O000172,Alexandria Ocasio-Cortez,1989,Democratic,current,554
"Representative Olin, James R.",james-olin/O000069,James R. Olin,1920,Democratic,not current,"1,215"
"Representative Olson, Pete",pete-olson/O000168,Pete Olson,1962,Republican,current,"2,038"
"Representative Olver, John W.",john-olver/O000085,John W. Olver,1936,Democratic,not current,"3,804"
"Representative Omar, Ilhan",ilhan-omar/O000173,Ilhan Omar,1982,Democratic,current,709
"Representative Ortiz, Solomon P.",solomon-ortiz/O000107,Solomon P. Ortiz,1937,Democratic,not current,"3,367"
"Representative Orton, Bill",bill-orton/O000108,Bill Orton,1948,Democratic,not current,516
"Representative Osborne, Tom",tom-osborne/O000165,Tom Osborne,1937,Republican,not current,605
"Representative Ose, Doug",doug-ose/O000164,Doug Ose,1955,Republican,not current,574
"Representative Otter, C. L. (Butch)",c-l-otter/O000166,C. L. (Butch) Otter,1942,Republican,not current,855
"Representative Ottinger, Richard L.",richard-ottinger/O000134,Richard L. Ottinger,1929,Democratic,not current,"3,120"
"Representative Owens, Major R.",major-owens/O000159,Major R. Owens,1936,Democratic,not current,"8,211"
"Representative Owens, Wayne",wayne-owens/O000156,Wayne Owens,1937,Democratic,not current,"2,138"
"Representative Owens, William L.",william-owens/O000169,William L. Owens,1949,Democratic,not current,775
"Representative Oxley, Michael G.",michael-oxley/O000163,Michael G. Oxley,1944,Republican,not current,"2,727"
"Representative Packard, Ron",ron-packard/P000005,Ron Packard,1931,Republican,not current,"2,641"
"Senator Packwood, Bob",robert-packwood/P000009,Bob Packwood,1932,Republican,not current,"3,152"
"Representative Palazzo, Steven M.",steven-palazzo/P000601,Steven M. Palazzo,1970,Republican,current,"1,124"
"Representative Pallone, Frank, Jr.",frank-pallone/P000034,"Frank Pallone, Jr.",1951,Democratic,current,"6,437"
"Representative Palmer, Gary J.",gary-palmer/P000609,Gary J. Palmer,1954,Republican,current,337
"Representative Panetta, Jimmy",jimmy-panetta/P000613,Jimmy Panetta,1969,Democratic,current,"1,109"
"Representative Panetta, Leon",leon-panetta/P000047,Leon Panetta,1938,Democratic,not current,"3,128"
"Representative Pappas, Chris",chris-pappas/P000614,Chris Pappas,1980,Democratic,current,654
"Representative Pappas, Michael",michael-pappas/P000049,Michael Pappas,1960,Republican,not current,252
"Representative Parker, Mike",mike-parker/P000066,Mike Parker,1949,History,not current,"1,523"
"Representative Parris, Stanford E. (Stan)",stanford-parris/P000080,Stanford E. (Stan) Parris,1929,Republican,not current,"1,578"
"Representative Pascrell, Bill, Jr.",william-pascrell/P000096,"Bill Pascrell, Jr.",1937,Democratic,current,"4,596"
"Representative Pashayan, Charles, Jr.",charles-pashayan/P000097,Charles Pashayan Jr.,1941,Republican,not current,"1,445"
"Representative Passman, Otto E.",otto-passman/P000098,Otto E. Passman,1900,Democratic,not current,49
"Representative Pastor, Ed",ed-pastor/P000099,Ed Pastor,1943,Democratic,not current,"3,331"
"Senator Pastore, John O.",john-pastore/P000100,John O. Pastore,1907,Democratic,not current,385
"Representative Patman, William N.",william-patman/P000104,William N. Patman,1927,Democratic,not current,370
"Representative Patman, Wright",wright-patman/P000103,Wright Patman,1893,Democratic,not current,218
"Representative Patten, Edward J.",edward-patten/P000106,Edward J. Patten,1905,Democratic,not current,766
"Representative Patterson, Elizabeth",elizabeth-patterson/P000112,Elizabeth Patterson,1939,Democratic,not current,"1,069"
"Representative Patterson, Jerry M.",jerry-patterson/P000121,Jerry M. Patterson,1934,Democratic,not current,"1,928"
"Representative Pattison, Edward W.",edward-pattison/P000134,Edward W. Pattison,1932,Democratic,not current,742
"Senator Paul, Rand",rand-paul/P000603,Rand Paul,1963,Republican,current,"1,515"
"Representative Paul, Ron",ron-paul/P000583,Ron Paul,1935,Republican,not current,"3,842"
"Representative Paulsen, Erik",erik-paulsen/P000594,Erik Paulsen,1965,Republican,not current,"1,262"
"Representative Paxon, Bill",bill-paxon/P000148,Bill Paxon,1954,Republican,not current,"1,507"
"Representative Payne, Donald M.",donald-payne/P000149,Donald M. Payne,1934,Democratic,not current,"6,513"
"Representative Payne, Donald M., Jr.",donald-payne/P000604,"Donald M. Payne, Jr.",1958,Democratic,current,"1,959"
"Representative Payne, Lewis F., Jr.",l-payne/P000152,Lewis F. Payne Jr.,1945,Democratic,not current,"1,168"
"Representative Pearce, Stevan",stevan-pearce/P000588,Stevan Pearce,1947,Republican,not current,"1,913"
"Senator Pearson, James B.",james-pearson/P000166,James B. Pearson,1920,Republican,not current,239
"Representative Pease, Donald J.",donald-pease/P000170,Donald J. Pease,1931,Democratic,not current,"1,461"
"Representative Pease, Edward A.",edward-pease/P000171,Edward A. Pease,1951,Republican,not current,122
"Senator Pell, Claiborne",claiborne-pell/P000193,Claiborne Pell,1918,Democratic,not current,"4,776"
"Representative Pelosi, Nancy",nancy-pelosi/P000197,Nancy Pelosi,1940,Democratic,current,"5,010"
"Representative Pence, Greg",greg-pence/P000615,Greg Pence,1956,Republican,current,145
"Representative Pence, Mike",mike-pence/P000587,Mike Pence,1959,Republican,not current,"1,755"
"Representative Penny, Timothy J.",timothy-penny/P000215,Timothy J. Penny,1951,Democratic,not current,"2,149"
"Representative Pepper, Claude",claude-pepper/P000218,Claude Pepper,1900,Democratic,not current,"4,478"
